,본부명,지사명,노선명,발생건수
0,수도권,경기광주,제2중부선,4.0
1,수도권,경기광주,중부선,7.0
2,수도권,경기광주,중부선,10.0
3,수도권,경기광주,중부선,7.0
4,수도권,경기광주,중부선,4.0
5,수도권,경기광주,중부선,6.0
6,수도권,경기광주,중부선,3.0
7,수도권,경기광주,중부선,3.0
8,수도권,군포,영동선,5.0
9,강원,강릉,동해선,3.0
10,강원,강릉,동해선,3.0
11,강원,양양,동해선,3.0
12,강원,원주,영동선,3.0
13,강원,원주,영동선,4.0
14,강원,이천,영동선,7.0
15,강원,이천,영동선,12.0
16,강원,이천,영동선,3.0
17,강원,이천,영동선,3.0
18,강원,이천,영동선,11.0
19,강원,이천,영동선,8.0
20,강원,이천,영동선,4.0
21,강원,이천,영동선,8.0
22,강원,이천,영동선,4.0
23,강원,이천,영동선,3.0
24,강원,이천,영동선,6.0
25,강원,이천,중부내륙선,3.0
26,강원,홍천,중앙선,7.0
27,강원,홍천,중앙선,3.0
28,강원,홍천,중앙선,3.0
29,강원,홍천,중앙선,6.0
30,강원,홍천,중앙선,9.0
31,강원,홍천,중앙선,3.0
32,강원,홍천,중앙선,8.0
33,강원,홍천,중앙선,3.0
34,강원,홍천,중앙선,5.0
35,강원,홍천,중앙선,4.0
36,충북,보은,청주상주선,3.0
37,충북,보은,청주상주선,4.0
38,충북,보은,청주상주선,4.0
39,충북,보은,청주상주선,7.0
40,충북,보은,청주상주선,3.0
41,충북,엄정,평택제천선,3.0
42,충북,제천,중앙선,3.0
43,충북,제천,중앙선,3.0
44,충북,제천,중앙선,5.0
45,충북,제천,중앙선,9.0
46,충북,제천,중앙선,6.0
47,충북,제천,중앙선,5.0
48,충북,제천,중앙선,4.0
49,충북,제천,중앙선,4.0
50,충북,제천,중앙선,9.0
51,충북,제천,중앙선,3.0
52,충북,진천,중부선,3.0
53,충북,진천,중부선,3.0
54,충북,진천,중부선,3.0
55,충북,진천,중부선,3.0
56,충북,진천,중부선,3.0
57,충북,충주,중부내륙선,3.0
58,충북,충주,중부내륙선,3.0
59,대전충남,공주,당진대전선,3.0
60,대전충남,공주,당진대전선,3.0
61,대전충남,공주,당진대전선,5.0
62,대전충남,공주,당진대전선,7.0
63,대전충남,공주,당진대전선,4.0
64,대전충남,공주,당진대전선,4.0
65,대전충남,공주,당진대전선,10.0
66,대전충남,공주,당진대전선,4.0
67,대전충남,공주,당진대전선,4.0
68,대전충남,공주,당진대전선,3.0
69,대전충남,공주,당진대전선,5.0
70,대전충남,공주,당진대전선,5.0
