본부명,지사명,노선명,구간,방 향,5km,발생건수,위도,경도
대전충남,공주,당진대전선,20~25,당진,20,3,36.714,126.759
대전충남,공주,당진대전선,40~45,당진,40,3,36.59,126.901
대전충남,공주,당진대전선,45~50,당진,45,5,36.574,126.951
대전충남,공주,당진대전선,65~70,당진,65,7,36.487,127.114
대전충남,공주,당진대전선,70~75,당진,70,4,36.498,127.165
대전충남,공주,당진대전선,75~80,당진,75,4,36.488,127.216
대전충남,공주,당진대전선,80~85,당진,80,10,36.459,127.25
대전충남,공주,당진대전선,85~90,당진,85,4,36.428,127.288
대전충남,공주,당진대전선,30~35,대전,30,4,36.647,126.825
대전충남,공주,당진대전선,35~40,대전,35,3,36.609,126.855
대전충남,공주,당진대전선,45~50,대전,45,5,36.574,126.951
대전충남,공주,당진대전선,50~55,대전,50,5,36.545,126.99
대전충남,공주,당진대전선,55~60,대전,55,5,36.505,127.012
대전충남,공주,당진대전선,65~70,대전,65,14,36.487,127.114
대전충남,공주,당진대전선,70~75,대전,70,14,36.498,127.165
대전충남,공주,당진대전선,80~85,대전,80,3,36.459,127.25
대전충남,공주,당진대전선,85~90,대전,85,9,36.428,127.288
대전충남,공주,당진대전선,10~15,당진,10,5,36.78257846,126.6897475
대전충남,공주,당진대전선,10~15,대전,10,3,36.78257846,126.6897475
대전충남,공주,당진대전선,20~25,당진,20,5,36.7140194,126.7590962
대전충남,공주,당진대전선,30~35,당진,30,3,36.64697595,126.825385
대전충남,공주,당진대전선,40~45,당진,40,4,36.59005306,126.9009977
대전충남,공주,당진대전선,45~50,당진,45,3,36.57359905,126.95119
대전충남,공주,당진대전선,55~60,대전,55,3,36.50495053,127.0121259
대전충남,공주,당진대전선,60~65,대전,60,6,36.48478628,127.0585342
대전충남,공주,당진대전선,60~65,당진,60,5,36.48478628,127.0585342
대전충남,공주,당진대전선,65~70,당진,65,8,36.48682968,127.1135605
대전충남,공주,당진대전선,65~70,대전,65,3,36.48682968,127.1135605
대전충남,공주,당진대전선,70~75,대전,70,11,36.49757058,127.1654894
대전충남,공주,당진대전선,70~75,당진,70,6,36.49757058,127.1654894
대전충남,공주,당진대전선,75~80,당진,75,9,36.48780468,127.2162696
대전충남,공주,당진대전선,80~85,당진,80,10,36.45888886,127.2501974
대전충남,공주,당진대전선,80~85,대전,80,3,36.45888886,127.2501974
대전충남,공주,당진대전선,85~90,당진,85,5,36.42787177,127.2883162
대전충남,공주,당진대전선,85~90,대전,85,5,36.42787177,127.2883162
대전충남,공주,당진대전선,50~55,당진,50,3,36.5450241,126.9895716
대전충남,공주,당진대전선,60~65,당진,60,3,36.4847862,127.0585342
대전충남,공주,당진대전선,85~90,당진,85,3,36.4278717,127.2883162
대전충남,공주,당진대전선,70~75,대전,70,3,36.4975705,127.1654894
대전충남,공주,당진대전선,75~80,대전,75,4,36.4878046,127.2162697
대전충남,공주,당진대전선,90~95,대전,90,4,36.393598,127.3203725
대전충남,공주,당진대전선,85~90,대전,85,7,36.42787173,127.2883162
대전충남,공주,당진대전선,70~75,당진,70,6,36.49757054,127.1654894
대전충남,공주,당진대전선,80~85,당진,80,5,36.45888882,127.2501974
대전충남,공주,당진대전선,85~90,당진,85,5,36.42787173,127.2883162
대전충남,공주,당진대전선,30~35,대전,30,5,36.64697591,126.825385
대전충남,공주,당진대전선,80~85,대전,80,3,36.45888882,127.2501974
