국립공원명,조사일자,자원명,위치명,로드킬구간명,경도,위도
속리산,2022-10-15,족제비,국지도 32호,속리_로드킬_002,127.8338308,36.6777
속리산,2022-10-01,고라니,국지도 32호,속리_로드킬_002,127.8338308,36.6777
속리산,2022-07-23,두꺼비,지방도 505호,속리_로드킬_004,127.8235942,36.4883
속리산,2022-06-26,다람쥐,지방도 505호,속리_로드킬_004,127.8235942,36.4883
속리산,2021-10-13,족제비,지방도 505호,속리_로드킬_004,127.8235942,36.4883
속리산,2021-05-04,청설모,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2021-03-30,족제비,지방도 997호,속리_로드킬_001,127.8733635,36.5897
속리산,2020-10-08,누룩뱀,지방도 997호,속리_로드킬_001,127.8733635,36.5897
속리산,2020-10-08,능구렁이,지방도 997호,속리_로드킬_001,127.8733635,36.5897
속리산,2020-06-08,다람쥐,지방도 505호,속리_로드킬_004,127.8235942,36.4883
속리산,2020-04-20,다람쥐,지방도 517호,속리_로드킬_003,127.9033749,36.7345
속리산,2019-09-05,누룩뱀,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2019-08-14,고라니,지방도 922호,속리_로드킬_006,127.9447163,36.6899
속리산,2019-08-03,어치,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2019-07-23,쇠살모사,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2019-07-19,다람쥐,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2019-07-03,다람쥐,지방도 517호,속리_로드킬_003,127.9033749,36.7345
속리산,2019-07-02,쇠살모사,지방도 517호,속리_로드킬_003,127.9033749,36.7345
속리산,2019-06-30,고라니,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2019-06-03,다람쥐,지방도 517호,속리_로드킬_003,127.9033749,36.7345
속리산,2019-06-01,다람쥐,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2019-03-26,두꺼비,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2019-03-14,들꿩,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2018-08-22,누룩뱀,지방도 517호,속리_로드킬_003,127.9033749,36.7345
속리산,2018-08-08,굴뚝새,지방도 505호,속리_로드킬_004,127.8235942,36.4883
속리산,2018-08-08,살모사,지방도 505호,속리_로드킬_004,127.8235942,36.4883
속리산,2018-08-08,곤줄박이,지방도 505호,속리_로드킬_004,127.8235942,36.4883
속리산,2018-07-20,고라니,지방도 505호,속리_로드킬_004,127.8235942,36.4883
속리산,2018-07-19,누룩뱀,농어촌도로 내속 202호,속리_로드킬_005,127.8746136,36.5033
속리산,2018-07-19,누룩뱀,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2018-07-08,누룩뱀,속리산_로드킬구간 외,속리산_로드킬구간 외,127.8789419,36.68945195
속리산,2018-07-08,능구렁이,지방도 505호,속리_로드킬_004,127.8235942,36.4883
