본부명,지사명,노선명,구간,방 향,5km,발생건수,위도,경도
충북,진천,중부선,260~265,통영,260,3,36.709,127.438
충북,진천,중부선,280~285,통영,280,3,36.859,127.481
충북,진천,중부선,305~310,통영,305,3,37.077,127.463
충북,진천,중부선,245~250,하남,245,3,36.579,127.428
충북,진천,중부선,295~300,하남,295,3,36.991,127.475
충북,진천,중부선,250~255,통영,250,3,36.62226641,127.4202485
충북,진천,중부선,265~270,하남,265,3,36.745619,127.4691291
충북,진천,중부선,285~290,통영,285,4,36.90295427,127.4761971
충북,진천,중부선,295~300,통영,295,5,36.99133408,127.474735
충북,진천,중부선,295~300,하남,295,4,36.99133408,127.474735
충북,진천,중부선,310~315,통영,310,4,37.11851464,127.4448231
충북,진천,중부선,315~320,하남,315,4,37.16308808,127.4400351
충북,진천,중부선,320~325,하남,320,3,37.20776473,127.4422137
충북,진천,중부선,255~260,통영,255,4,36.666547,127.4240858
충북,진천,중부선,290~295,통영,290,5,36.9476101,127.4714058
충북,진천,중부선,300~305,통영,300,3,37.035401,127.4801145
충북,진천,중부선,320~325,통영,320,5,37.2077647,127.4422137
충북,진천,중부선,250~255,하남,250,4,36.6222664,127.4202485
충북,진천,중부선,260~265,하남,260,5,36.7088023,127.4375391
충북,진천,중부선,270~275,하남,270,3,36.7782731,127.5066813
충북,진천,중부선,300~305,하남,300,6,37.035401,127.4801145
충북,진천,중부선,305~310,하남,305,4,37.0774519,127.4625306
충북,진천,중부선,250~255,통영,250,9,36.62226637,127.4202485
충북,진천,중부선,290~295,통영,290,7,36.9476101,127.4714058
충북,진천,중부선,275~280,하남,275,6,36.81738099,127.4910263
충북,진천,중부선,245~250,통영,245,5,36.57914957,127.4275038
충북,진천,중부선,260~265,통영,260,5,36.70880232,127.4375391
충북,진천,중부선,280~285,하남,280,5,36.8593107,127.48117
충북,진천,중부선,305~310,통영,305,4,37.07745194,127.4625306
충북,진천,중부선,270~275,통영,270,4,36.77827315,127.5066813
충북,진천,중부선,320~325,하남,320,4,37.20776468,127.4422137
충북,진천,중부선,295~300,하남,295,4,36.99133404,127.474735
충북,진천,중부선,250~255,하남,250,4,36.62226637,127.4202485
충북,진천,중부선,315~320,통영,315,3,37.16308804,127.4400352
충북,진천,중부선,320~325,통영,320,3,37.20776468,127.4422137
충북,진천,중부선,255~260,통영,255,3,36.666547,127.4240858
충북,진천,중부선,265~270,통영,265,3,36.74561896,127.4691292
충북,진천,중부선,270~275,하남,270,3,36.77827315,127.5066813
