번호,생태통로명,주소,도로명,도로번호,차선_수,위도_도,위도_분,위도_초,경도_도,경도_분,경도_초,관리기관,생태통로유형,설치기관,설치년도,위도,경도
1066,개야생태이동통로,강원도 홍천군 서면 개야리,,86,왕복2차선,37,41,26.8,127,38,3.5,강원도 도로관리사업소,육교형,강원도,2007,37.69077778,127.6343056
1069,,강원도 홍천군 북방면 굴지리,,14호선,왕복2차선,37,41,26.8,127,38,3.5,강원도 홍천군,육교형,강원도 홍천군,200712,37.69077778,127.6343056
1300,자운리 생태통로,강원도 홍천군 내면 자운리,,31호선,왕복2차선,37,43,6.3,128,25,22.55,강릉국토관리사무소,터널형,강릉국토관리사무소,2005,37.71841667,128.4229306
1308,생곡리1호,강원도 홍천군 서석면 생곡리,,56호선,왕복2차선,37,43,54.1,128,17,30.7,강원도 도로관리사업소,양서 파충류 통로,홍천국토관리사무소,2006,37.73169444,128.2918611
1309,생곡리2호,강원도 홍천군 서석면 생곡리,,56호선,왕복2차선,37,44,24.2,128,17,54.2,강원도 도로관리사업소,양서 파충류 통로,홍천국토관리사무소,2006,37.74005556,128.2983889
1310,생곡리3호,강원도 홍천군 서석면 생곡리,,56호선,왕복2차선,37,44,33.5,128,18,7.6,강원도 도로관리사업소,터널형,홍천국토관리사무소,2006,37.74263889,128.3021111
1368,서울양양선 70.31k,강원도 홍천군 북방면 성동리,,(고속국도 60호선),왕복4차선,37,45,19.11,127,52,52.49,한국도로공사,터널형,한국도로공사,200908,37.75530833,127.8812472
1522,서울양양선 82.96k,강원도 홍천군 화촌면 군업리 산220-12,,60,왕복4차선,37,45,27.9,128,0,54.7,한국도로공사,육교형,한국도로공사,201707,37.75775,128.0151944
1523,서울양양선 85.43k,강원도 홍천군 화촌면 장평리 산236-1,,60,왕복4차선,37,45,16.9,128,2,34.4,한국도로공사,육교형,한국도로공사,201707,37.75469444,128.0428889
1524,서울양양선 93.84k,강원도 홍천군 내촌면 와야리 산266-1,,60,왕복4차선,37,47,17.1,128,7,27.3,한국도로공사,육교형,한국도로공사,201707,37.78808333,128.12425
1546,,강원도 홍천군 화촌면 군업리  산220-12,,60,왕복4차선,37,45,27.6,128,0,54.5,한국도로공사,육교형,한국도로공사,20171229,37.75766667,128.0151389
1547,,강원도 홍천군 내촌면 물걸리  산386-2,,60,왕복4차선,37,47,17.6,128,7,28.8,한국도로공사,육교형,한국도로공사,20171231,37.78822222,128.1246667
