본부명,지사명,노선명,구간,방 향,5km,발생건수,위도,경도
강원,홍천,중앙선,315~320,부산,315,7,37.341,127.913
강원,홍천,중앙선,320~325,부산,320,3,37.383,127.894
강원,홍천,중앙선,345~350,부산,345,3,37.573,127.973
강원,홍천,중앙선,360~365,부산,360,6,37.67,127.874
강원,홍천,중앙선,370~375,부산,370,9,37.725,127.797
강원,홍천,중앙선,375~380,부산,375,3,37.766,127.791
강원,홍천,중앙선,315~320,춘천,315,8,37.341,127.913
강원,홍천,중앙선,320~325,춘천,320,3,37.383,127.894
강원,홍천,중앙선,335~340,춘천,335,5,37.497,127.959
강원,홍천,중앙선,340~345,춘천,340,4,37.53,127.979
강원,홍천,중앙선,315~320,부산,315,12,37.34098708,127.9125914
강원,홍천,중앙선,315~320,춘천,315,9,37.34098708,127.9125914
강원,홍천,중앙선,320~325,부산,320,4,37.38295623,127.8938802
강원,홍천,중앙선,325~330,부산,325,4,37.41832587,127.916969
강원,홍천,중앙선,330~335,부산,330,5,37.45675982,127.936538
강원,홍천,중앙선,345~350,부산,345,3,37.57288407,127.9732079
강원,홍천,중앙선,360~365,부산,360,9,37.67018364,127.8743817
강원,홍천,중앙선,360~365,춘천,360,6,37.67018364,127.8743817
강원,홍천,중앙선,370~375,부산,370,4,37.72454322,127.7967581
강원,홍천,중앙선,370~375,춘천,370,3,37.72454322,127.7967581
강원,홍천,중앙선,315~320,부산,315,8,37.340987,127.9125914
강원,홍천,중앙선,345~350,부산,345,4,37.572884,127.9732079
강원,홍천,중앙선,350~355,부산,350,3,37.6134811,127.9563302
강원,홍천,중앙선,355~360,부산,355,3,37.646758,127.9193938
강원,홍천,중앙선,360~365,부산,360,3,37.6701836,127.8743817
강원,홍천,중앙선,375~380,부산,375,3,37.7664292,127.7909967
강원,홍천,중앙선,385~390,부산,385,3,37.8387689,127.7779955
강원,홍천,중앙선,315~320,춘천,315,6,37.340987,127.9125914
강원,홍천,중앙선,325~330,춘천,325,6,37.4183258,127.916969
강원,홍천,중앙선,345~350,춘천,345,3,37.572884,127.9732079
강원,홍천,중앙선,375~380,춘천,375,4,37.7664292,127.7909967
강원,홍천,중앙선,380~385,춘천,380,3,37.8022068,127.7716686
강원,홍천,중앙선,385~390,춘천,385,4,37.8387689,127.7779955
강원,홍천,중앙선,315~320,부산,315,13,37.34098704,127.9125914
강원,홍천,중앙선,315~320,춘천,315,7,37.34098704,127.9125914
강원,홍천,중앙선,385~390,춘천,385,6,37.83876894,127.7779955
강원,홍천,중앙선,345~350,부산,345,4,37.57288403,127.9732079
강원,홍천,중앙선,380~385,부산,380,4,37.80220681,127.7716686
강원,홍천,중앙선,360~365,부산,360,4,37.6701836,127.8743817
강원,홍천,중앙선,370~375,부산,370,3,37.72454318,127.7967582
강원,홍천,중앙선,340~345,부산,340,3,37.52998812,127.9787662
강원,홍천,중앙선,370~375,춘천,370,3,37.72454318,127.7967582
